review
마지막 요정 뜬금없다는분들이 많으신데 남주에게 추천해준 어린왕자의 주인공을 겹치게 표현한거라고 봅니다그리고 손톱의때라도 달여마시고싶다 라는부분이 좀 이상하게 생각하시는분들이 계실텐데 존경하는사람을 닮고싶다고할때 사용...
하루키(봄)의 계절에 사쿠라(벚꽃)가 잠시 머물다 갔다. 그시간은 벚꽃이 지는 시간만큼 너무나도 짧았지만 떨어지는 벚꽃잎처럼 아름답기만 했다.
기대했던만큼 정말 재미있었고 마지막에는 울었던 영화!불꽃놀이 장면이 너무예뻐서 아직도 잊혀지지가않아요
내용은 책이랑 똑같아서 좋은데 남주 울때 갑분울임...
여러가지 태클을 걸데가 많았지만...  췌장이 모조리 씹어먹었다..
원작을 잘 살린 장면들이 많았고 어린왕자 연출처럼 조금 뜬금없는 연출도 있었지만 재밌게 봤네요 / 엔딩 크레딧 후 영상있으니 챙겨보시길
영화관에 의외로 남자 여럿이서 보는거 보고 놀랐음
불꽃놀이 너무 감동적이네용
원작의 감동이 이어집니다~ 너무 잘 봤어여
어느 영화의 키스보다 더 설레이고 아름다웠던 허그
아니 굳이 묻지마 살인으로 죽는 이유가 뭐야..
"원작 소설, 영화도 다봤고, 애니도 너무 좋음요 ㅜ"
"비주얼은 100점. 각본은 전체적으로 원작을 따라갔으나 클라이막스에서의 연출이 아쉽네요. 좀 더 담백하게 캐릭터들의 감정으로만 이끌어가길 원했는데, 갑작스러운 메르헨 연출로 감동이 다 깨져버렸어요. 원작 볼때처럼 펑..."
애니메이션만의 감정선이 있네요... 배경 하나하나에 빠져서 봤습니다. 감독님 기대됩니다!
이거보고 울었다 끝내기가 아쉽다
사쿠라가 죽은 당일 하루키에겐 오만가지 생각이 다 들었을듯내가 그날 사쿠라에게 보자 하지 않았더라면 그녀는 살았을텐데그날 그녀를 만나지 않았다면 이렇게 죽지는 않았을텐데자신을 자책하는 마음을 넘어 현실을 받아들이며 ...
책에 비해 생략된 내용도 있으나 충분히 재미있었습니다.
"좋았다. 잔잔한 음악도, 아름다운 색채도.원작에 충실한 한편 애니메이션이기에 가능한 동화적 연출은 신선했고 보는이로 하여금 더욱 빠져들게 해준다... 마냥 눈물 빠지게 해준다고 다 좋은건 아니다. 함축된 연출은 고맙..."
"영화보단 애니 애니보단 소설이란 느낌.중요 장면들의 세세한 감정의 묘사가 인상 깊었던 영화와 달리, 그림의 한계인지 중요장면에서의 감정 묘사가 조금 아쉬움. 하지만 원작의 내용을 정말 잘 압축해 놓은 것 같아서 재미..."
"스미노요루, 시대의 명작가입니다. 정말 좋은 작품입니다. 다른 작품으로는 '또다시 같은 꿈을 꾸었어' 가 있는데, 그것도 애니 영화화 되었으면 하네요~"
서로가서로를닮고싶어하는두순수한영혼의만남
잔잔한 음악도 영화의 분위기도 다 내 취향이였고 너무 좋았다
쿠키영상 보고가요 하하
실사보다 제작에 더 많은 노력이 필요한 애니메이션....  좋은 애니메이션은 항상 관람료 이상의 만족을 준다.
소설로 울리고 영화로 두 번 울린 작품
아니 연출은 다 그러려니하는데 어차피 병으로 죽을사람을 왜 굳이 묻지마 흉기 살인사건의 피해자로 만들어서 죽게 만드는지 모르겠음 꼭 그런식으로 전개했어야 하나 의문이 드는데 누가 납득좀 시켜주실분?
재밌어요 처음엔 말도 안되는 스토리겠다 싶었는데 볼수록 빠져들었어요 눈물참기가 힘들었음
죽음과 성장이라는 서로 이질적인 주제에 대한 일본 문화계의 깊이와 성취를 보여주는 작품
원작과 괴리감없이 깔끔하게 볼수있었어요
원작인 책의 내용을 충실하게 잘살린 부분도 많았고 특히 영상미가 정말 인상적이다고 생각이들었고 확실히 책을 읽었을때처럼 슬프고 여운이 많이  남는 애니라고 생각이 듭니다 영화가 끝나고 나가지 마시고 쿠키영상 까지 보...
원작소설을 읽으신 분이라면 생략되거나 교체된 장면이 꽤 있다는 것을 느낄겁니다. 그래도 느낌만큼은 제대로 전달하고 있는 것 같네요. 그리고 엔딩 크레딧 후에 추가 영상 있으니 보고 가세요.
"그림채, 분위기, 내용 전부다 좋았지만 굳이 뜬금없이 묻지마 흉기 살인사건의 피해자로 만들어서 죽게 만들어야 했는지 모르겠음.. 너무 뜬금포라 이때 갑자기 감정이 식었음ㅠ 반전을 노려서 무리수를 둔건지 꼭 그런식으로..."
아니 이게 뭐야..? 으응..?
"원작이 워낙 명작이라 주인공들과 주변 인물들의 개성, 정서, 그리고 인연, 삶에 대한 좋은 표현과 감동을 다시 느낄 수 있었습니다. ost 가사도 정말 와닿더라고요."
"원작소설을 최대한 살리고자 노력했던 애니.실사영화에 비해서 개연성은 떨어지고, 함축적인 표현보다는 인물의 대사와 독백으로 영화전반을 끌어갔다는점이 아쉽지만, 소설 내용에 충실하게 감정선만큼은 흐트러짐없이 끌고나갔다는..."
애니보면서 운적은 처음입니다
"실사판 영화,만화책,소설책,애니모두다 제미있네요."
불꽃놀이 장면이 너무예쁘네요
"실사 영화 봤던 것보다 훨씬 좋네요. 애니가 감정을 더 건드린다고 해야 하나? 어린왕자 비유도 좋았고요, 참고로 엔딩곡 끝나고 쿠키영상 있으니까 다 보고 나가세요!"
"이용진이라는 정신병자로  강력히 의심되는 평론가가 평론이랍시고""네가 뭘먹던 난 구토할테니까""라고 적고서 1점을 준 영화의 애니메이션판입니다.  영화 안구립니다. 이용진씨는 정신병원가서 정신감정이나 받아..."
방금보고왔는데   기대없이 봤는데  전 좋았어요 !  나를 먼저 인정해야 남을 인정할수있다 ..
"소설은 안봤지만 오늘 애니메이션 개봉한다길래 친구들이랑 봤는데, 정말 재밌고 소설도 언제한번 읽고싶네요!"
보는 내내 울었네요. 너무나 슬프고도 아름답네요.
오랜만에 재밌게 본 극장 애니메이션
마지막에 어린왕자를 추천해서 행성을 지나면서 하루키와 사쿠라의 추억을 떠올린건 알겠는데 연출이 너무 당황스러웠어요... 고인과의 추억 회상신에서 너무 밝고 화창한 느낌으로 나온거같아요 갑자기 일상에서 판타지되는 느낌...
"뭐 몇몇 충격적인 내용은 있었지만 진짜 몇백만원을 주고도 볼 명작이었음. 내가 방금 댓글보다가 든 생각인데, 이 영화 보는 사람들은 사람들도 아님?? 자기들은 관심있어서 들어오고 욕 엄청하고 가네. 그럴거면 댓글 달..."
배울 게 많은 영화였다.
제발 사쿠라가 살길 바라면서 봤다ㅠ 슬픈거 안 좋아하는데 이 영화는 너무 좋았다. 책도 구매해서 볼 예정이고 실사영화도 재개봉 한다면 보러 갈 것이다.
생각했던것보다 감동적이고 재미있었던 영화입니다.  작년에 개봉한 실사판보다  원작에 더 충실한 점이 좋았습니다.
실사판 영화와는 다르게 남주 이름 맨 마지막에 나와서 정말 좋았고 OST들도 좋았고 원작 내용 잘 살리고 맨 마지막에 유서 그냥 읽었으면 조금 심심하게 느꼈을 지도 모르는 장면 어린 왕자랑 겹친 것도 괜찮았어요. 엔...
원작의 감동이 그대로 느껴짐. 극장에서 큰 화면으로 보니 진짜 감탄 뿐임.
개 꿀잼 감동이 너무와 울었습니다 이거보고 책도 삼
남주의 찐따미가 피지컬 상승으로 인해 없어지긴 했지만...그래도 불꽃놀이 씬은 기대 이상이었따...예상했던거 보다 잘만들어 줘서 고마운 마음뿐 good!@!
솔직히 너의이름은 보다 더재밌게봤네요~
너의 췌장을 먹고싶어 = 사랑해 라는 말이었군요..
말이 필요한가? 책이든 애니든 여운이 하루종일 가게 하는...
항마력 테스트를 하고나온 기분이다. 그 와중에 감정이입은 충분했다.
애니메이션만의 감동이 있네요 정말 추천합니다
좀...뭔가 책의 감수성이 덜느껴ㅤㅈㅕㅅ어요 남주의 독백이 많았으면 좋앗을거같고 감정선이 아쉬웠던듯해요..
"'애니메이션'이기에 가능한, 지금까지의 너췌먹과는 조금 다른 너췌먹. 성우들의 연기도, 작화 연출도 정말 마음에 들었다."
책이랑 거의 똑같아요 그리고 재미있습니다
원작은 진짜 잘살렸는데 마지막에 여주 요정(?) 뜬금없었음 나머지는 다 좋았어요 영상미도 예쁘고
인생 최고의 애니메이션!
일본은 애니나 소설이나 교훈과 감동을 줄수있게 잘만드는것같다
사쿠라가 떠난 후 주인공이 쿄코에게 친구하자고 했을때 억먹했어요
뾰로롱 부분이 좀 많이 깬 것 빼곤 ㄱㅊ
제목이 난해에서 기대안했는데 역시 일애니 극장판 답게 보는내내 지루한줄 모르고 재밌게 봤네요 봄에는 꼭 생각나는 애니일것 같네요 OST도 너무 좋았어여~~한번 더 볼거 같아요
제목의 편견만 가지고 보지 않거나 비방하는문제는 아쉽다하지만 작품을 보면 제목이 가지는 힘 을 알 수 있다.
진짜 충격적인 방향으로 클리셰 깼다.
영화로도 좋았지만 애니메이션으로 보니 더 감동적이었다. 확실히 일본은 애니메이션을 잘 만드는 듯
"만화책이랑 소설 모두 남주가 절규하듯 우는 장면에서 크게 울컥해서 애니도 많이 기대했는데 너무 약했던거 같음... 확실히 감정표현에서는 부족했지만 불꽃놀이, 원작 책 표지 장면 연출은 진짜 좋았던거 같음 나름 볼만함..."
이 영화 개봉전부터 기다리다가 겨우 봤는데 예상만큼이나 정말 재미있어요.특히 남주가 울 땐 저도...ㅠ^ㅠ 그래도 진짜 완전 재밌어요.대박 나실듯!
"잔잔하지만, 여운이 강한 영화!!"
원작을 읽어주는 정도로 반영이 잘 되서 재미있게 봤습니다 하지만 마지막 어린왕자에서 별로 꼭 그 연출을 써야 되나 라는 생각이 들정도로 별로였던거 같습니다 마지막 어린왕자만 빼면 재미있게 봤습니다
정말 너무도 오랜만에 깊은 여운을 느끼는 애니메이션이 아닐수 없다....후유증 너무 길게 갈것같다.
"와 내인생 최고의 일본영화였다....정말로,,, 최고야"
친구가 없는 이들에게 추천합니다.
꼭 그렇게 사쿠라를 죽였어야 속이 시원했ㄴ냐!!!
원작과 극영화의 장점을 모두 보여주는 작품이네요. 애니매이션인만큼 그 영역에서 보여줄숭있는걸 보여주었고 원작도 1시간40분안에 잘살린  수작이네요. 마지막 엔딩도 넘좋았습니다. 먼저 나가지마시고 끝까지 보세요
원작재현을 되게 잘했다. 불꽃놀이는 원작초월수준.
처음 본 애니영화라 그런지 넘재밌고 슬프고 후유증 쩔어요...
여운이 남는 영화가 오랜만이라 좋았네요
일주일도 안되서 우리동네는 상영관 내렸네...  마동석 요즘 영화내는 족족 망하면서 상영관 독점오지고..
잘 보고왔습니다 소설내용 생각하며 봤는데 정말 좋았어요!
마음 속 잔잔한 파도가 평범한 일상 속에 부딪혀 은은한 감동을 주는 영화
